,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,7.6,0.4,4.0
gp,RANDOM_VALUE,41.6,8.8,6.0
ld,FLIP_SINGLE_BIT,4.8,1.2,0.0
ld,RANDOM_VALUE,40.8,11.6,0.0
fp32,FLIP_SINGLE_BIT,7.6,0.8,0.0
fp32,RANDOM_VALUE,43.6,10.4,0.0
fp32,WARP_RANDOM_VALUE,76.0,10.0,0.0
