,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,7.2,0.4,4.0
gp,RANDOM_VALUE,32.8,8.8,6.0
ld,FLIP_SINGLE_BIT,3.6,1.2,0.0
ld,RANDOM_VALUE,29.2,11.6,0.0
fp32,FLIP_SINGLE_BIT,6.8,0.8,0.0
fp32,RANDOM_VALUE,33.2,10.4,0.0
fp32,WARP_RANDOM_VALUE,66.0,10.0,0.0
