,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,5.6,0.0,8.0
gp,RANDOM_VALUE,27.2,2.0,18.8
ld,FLIP_SINGLE_BIT,5.2,0.8,0.4
ld,RANDOM_VALUE,32.4,3.2,2.0
fp32,FLIP_SINGLE_BIT,7.2,1.2,0.0
fp32,RANDOM_VALUE,34.8,5.6,0.0
fp32,WARP_RANDOM_VALUE,58.8,5.6,0.0
