,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,5.6,0.0,7.6
gp,RANDOM_VALUE,29.2,2.0,18.8
ld,FLIP_SINGLE_BIT,6.0,0.8,0.4
ld,RANDOM_VALUE,35.6,3.2,1.6
fp32,FLIP_SINGLE_BIT,8.4,1.2,0.0
fp32,RANDOM_VALUE,40.4,5.6,0.0
fp32,WARP_RANDOM_VALUE,64.4,5.6,0.0
