,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,9.6,0.4,4.0
gp,RANDOM_VALUE,33.6,7.6,4.8
ld,FLIP_SINGLE_BIT,4.8,0.4,0.0
ld,RANDOM_VALUE,34.0,10.8,0.0
fp32,FLIP_SINGLE_BIT,8.0,1.2,0.0
fp32,RANDOM_VALUE,36.8,9.6,0.0
fp32,WARP_RANDOM_VALUE,66.0,14.0,0.0
