,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,10.8,0.0,8.4
gp,RANDOM_VALUE,43.2,0.4,17.6
ld,FLIP_SINGLE_BIT,5.6,0.4,0.0
ld,RANDOM_VALUE,46.4,1.6,0.4
fp32,FLIP_SINGLE_BIT,10.0,0.8,0.0
fp32,RANDOM_VALUE,52.0,1.6,0.0
fp32,WARP_RANDOM_VALUE,88.0,7.6,0.0
