,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,10.8,0.0,8.4
gp,RANDOM_VALUE,42.8,0.4,18.0
ld,FLIP_SINGLE_BIT,5.2,0.4,0.0
ld,RANDOM_VALUE,44.8,1.6,0.4
fp32,FLIP_SINGLE_BIT,9.2,0.8,0.0
fp32,RANDOM_VALUE,50.4,1.6,0.0
fp32,WARP_RANDOM_VALUE,80.4,7.6,0.0
