,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,12.4,2.0,3.6
gp,RANDOM_VALUE,16.0,19.2,10.0
ld,FLIP_SINGLE_BIT,12.0,2.0,1.2
ld,RANDOM_VALUE,12.8,23.2,1.6
fp32,FLIP_SINGLE_BIT,13.6,1.6,0.0
fp32,RANDOM_VALUE,13.6,22.4,0.0
fp32,WARP_RANDOM_VALUE,21.6,40.4,0.4
