,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,14.4,2.0,3.6
gp,RANDOM_VALUE,35.2,19.2,10.0
ld,FLIP_SINGLE_BIT,14.0,2.0,1.2
ld,RANDOM_VALUE,36.0,23.2,1.6
fp32,FLIP_SINGLE_BIT,15.2,1.6,0.0
fp32,RANDOM_VALUE,36.0,22.4,0.0
fp32,WARP_RANDOM_VALUE,62.0,40.4,0.4
