,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,2.8,0.8,7.2
gp,RANDOM_VALUE,35.6,8.0,4.8
ld,FLIP_SINGLE_BIT,2.4,0.4,0.0
ld,RANDOM_VALUE,37.6,6.0,0.0
fp32,FLIP_SINGLE_BIT,2.8,0.4,0.0
fp32,RANDOM_VALUE,36.0,7.2,0.0
fp32,WARP_RANDOM_VALUE,57.6,12.8,0.0
