,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,2.0,0.8,7.2
gp,RANDOM_VALUE,27.6,8.0,4.8
ld,FLIP_SINGLE_BIT,2.0,0.4,0.0
ld,RANDOM_VALUE,31.6,6.0,0.0
fp32,FLIP_SINGLE_BIT,2.4,0.4,0.0
fp32,RANDOM_VALUE,28.8,7.2,0.0
fp32,WARP_RANDOM_VALUE,44.8,12.8,0.0
