,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,11.2,0.0,3.6
gp,RANDOM_VALUE,49.6,2.8,2.4
ld,FLIP_SINGLE_BIT,3.6,0.0,2.8
ld,RANDOM_VALUE,28.8,4.0,2.8
fp32,FLIP_SINGLE_BIT,12.8,0.4,0.0
fp32,RANDOM_VALUE,54.8,4.8,0.0
fp32,WARP_RANDOM_VALUE,82.0,8.0,0.0
