,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,11.2,0.0,3.6
gp,RANDOM_VALUE,52.4,2.8,2.4
ld,FLIP_SINGLE_BIT,3.6,0.0,2.8
ld,RANDOM_VALUE,32.8,4.0,2.8
fp32,FLIP_SINGLE_BIT,13.2,0.4,0.0
fp32,RANDOM_VALUE,59.6,4.8,0.0
fp32,WARP_RANDOM_VALUE,90.0,8.0,0.0
