,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,16.4,0.4,4.8
gp,RANDOM_VALUE,53.6,4.4,8.0
ld,FLIP_SINGLE_BIT,5.2,0.4,0.0
ld,RANDOM_VALUE,46.4,10.0,0.0
fp32,FLIP_SINGLE_BIT,17.2,0.4,0.0
fp32,RANDOM_VALUE,62.0,4.0,0.0
fp32,WARP_RANDOM_VALUE,85.6,9.2,0.0
