,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,16.0,0.4,4.8
gp,RANDOM_VALUE,49.2,4.4,8.0
ld,FLIP_SINGLE_BIT,4.8,0.4,0.0
ld,RANDOM_VALUE,36.4,10.0,0.0
fp32,FLIP_SINGLE_BIT,16.8,0.4,0.0
fp32,RANDOM_VALUE,58.0,4.0,0.0
fp32,WARP_RANDOM_VALUE,76.4,9.2,0.0
