,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,11.2,0.4,7.6
gp,RANDOM_VALUE,40.0,2.8,12.0
ld,FLIP_SINGLE_BIT,4.0,0.0,0.0
ld,RANDOM_VALUE,40.0,3.2,0.0
fp32,FLIP_SINGLE_BIT,8.8,0.0,0.0
fp32,RANDOM_VALUE,56.0,3.6,0.0
fp32,WARP_RANDOM_VALUE,82.0,5.2,0.0
