,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,10.8,0.4,7.6
gp,RANDOM_VALUE,37.2,2.8,12.0
ld,FLIP_SINGLE_BIT,4.0,0.0,0.0
ld,RANDOM_VALUE,36.8,3.2,0.0
fp32,FLIP_SINGLE_BIT,8.8,0.0,0.0
fp32,RANDOM_VALUE,52.4,3.6,0.0
fp32,WARP_RANDOM_VALUE,76.8,5.2,0.0
