,,crashes
fp32,FLIP_SINGLE_BIT,0
fp32,RANDOM_VALUE,2
fp32,WARP_RANDOM_VALUE,0
gp,FLIP_SINGLE_BIT,14
gp,RANDOM_VALUE,8
ld,FLIP_SINGLE_BIT,24
ld,RANDOM_VALUE,28
