,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,8.0,0.0,4.8
gp,RANDOM_VALUE,36.0,1.6,2.4
ld,FLIP_SINGLE_BIT,6.8,0.4,1.2
ld,RANDOM_VALUE,32.8,0.8,2.0
fp32,FLIP_SINGLE_BIT,6.8,0.8,0.0
fp32,RANDOM_VALUE,41.6,0.8,0.0
fp32,WARP_RANDOM_VALUE,75.6,3.2,0.0
