,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,8.0,0.0,4.8
gp,RANDOM_VALUE,37.6,1.6,2.4
ld,FLIP_SINGLE_BIT,7.2,0.4,1.2
ld,RANDOM_VALUE,33.6,0.8,2.0
fp32,FLIP_SINGLE_BIT,7.6,0.8,0.0
fp32,RANDOM_VALUE,42.4,0.8,0.0
fp32,WARP_RANDOM_VALUE,78.8,3.2,0.0
