,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,7.6,2.0,5.6
gp,RANDOM_VALUE,36.8,21.2,13.6
ld,FLIP_SINGLE_BIT,6.8,3.2,0.0
ld,RANDOM_VALUE,50.0,25.6,0.0
fp32,FLIP_SINGLE_BIT,6.0,1.6,0.0
fp32,RANDOM_VALUE,49.2,23.6,0.0
fp32,WARP_RANDOM_VALUE,82.0,32.8,0.0
