,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,5.6,2.0,5.6
gp,RANDOM_VALUE,15.6,21.2,13.6
ld,FLIP_SINGLE_BIT,3.6,3.2,0.0
ld,RANDOM_VALUE,24.4,25.6,0.0
fp32,FLIP_SINGLE_BIT,4.4,1.6,0.0
fp32,RANDOM_VALUE,25.6,23.6,0.0
fp32,WARP_RANDOM_VALUE,49.2,32.8,0.0
