,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,20.0,0.4,6.0
gp,RANDOM_VALUE,47.6,4.0,10.4
ld,FLIP_SINGLE_BIT,8.0,0.4,0.0
ld,RANDOM_VALUE,51.2,6.4,0.0
fp32,FLIP_SINGLE_BIT,12.4,0.0,0.0
fp32,RANDOM_VALUE,56.4,5.2,0.0
fp32,WARP_RANDOM_VALUE,85.2,6.4,0.0
