,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,12.4,0.4,5.6
gp,RANDOM_VALUE,37.2,2.8,11.6
ld,FLIP_SINGLE_BIT,3.2,0.0,0.0
ld,RANDOM_VALUE,38.4,4.8,0.0
fp32,FLIP_SINGLE_BIT,7.2,0.4,0.0
fp32,RANDOM_VALUE,40.4,0.8,0.0
fp32,WARP_RANDOM_VALUE,77.2,5.2,0.0
