,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,7.6,0.0,1.2
gp,RANDOM_VALUE,40.4,3.2,3.2
ld,FLIP_SINGLE_BIT,4.0,0.0,4.0
ld,RANDOM_VALUE,35.6,5.6,3.2
fp32,FLIP_SINGLE_BIT,5.6,0.0,0.0
fp32,RANDOM_VALUE,45.2,2.4,0.0
fp32,WARP_RANDOM_VALUE,76.4,4.8,0.0
