,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,5.2,2.8,3.2
gp,RANDOM_VALUE,19.2,22.0,10.8
ld,FLIP_SINGLE_BIT,1.6,1.6,0.0
ld,RANDOM_VALUE,20.8,19.6,0.0
fp32,FLIP_SINGLE_BIT,2.8,0.4,0.0
fp32,RANDOM_VALUE,23.2,26.8,0.0
fp32,WARP_RANDOM_VALUE,46.4,33.2,0.0
