,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,8.0,2.8,3.2
gp,RANDOM_VALUE,41.2,22.0,10.8
ld,FLIP_SINGLE_BIT,3.2,1.6,0.0
ld,RANDOM_VALUE,40.4,19.6,0.0
fp32,FLIP_SINGLE_BIT,3.2,0.4,0.0
fp32,RANDOM_VALUE,50.0,26.8,0.0
fp32,WARP_RANDOM_VALUE,79.6,33.2,0.0
