,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,15.6,0.0,5.2
gp,RANDOM_VALUE,47.2,4.0,5.6
ld,FLIP_SINGLE_BIT,6.8,0.0,2.4
ld,RANDOM_VALUE,36.0,4.8,3.6
fp32,FLIP_SINGLE_BIT,11.6,0.4,0.0
fp32,RANDOM_VALUE,58.4,4.4,0.0
fp32,WARP_RANDOM_VALUE,85.2,5.2,0.0
