,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,17.2,2.0,5.2
gp,RANDOM_VALUE,52.8,34.8,10.0
ld,FLIP_SINGLE_BIT,6.8,1.6,2.0
ld,RANDOM_VALUE,43.6,30.4,6.0
fp32,FLIP_SINGLE_BIT,8.0,0.8,0.0
fp32,RANDOM_VALUE,54.8,32.0,0.0
fp32,WARP_RANDOM_VALUE,91.2,47.2,0.0
