,,crashes
fp32,FLIP_SINGLE_BIT,8
fp32,RANDOM_VALUE,10
fp32,WARP_RANDOM_VALUE,2
gp,FLIP_SINGLE_BIT,2
gp,RANDOM_VALUE,8
ld,FLIP_SINGLE_BIT,24
ld,RANDOM_VALUE,26
