,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,12.4,0.4,2.0
gp,RANDOM_VALUE,49.6,1.6,6.4
ld,FLIP_SINGLE_BIT,4.8,0.4,0.0
ld,RANDOM_VALUE,37.6,4.8,0.0
fp32,FLIP_SINGLE_BIT,7.6,0.4,2.0
fp32,RANDOM_VALUE,46.0,3.6,0.0
fp32,WARP_RANDOM_VALUE,75.6,4.4,0.0
