,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,12.8,0.4,2.0
gp,RANDOM_VALUE,51.2,1.6,4.8
ld,FLIP_SINGLE_BIT,5.2,0.4,0.0
ld,RANDOM_VALUE,42.4,4.8,0.0
fp32,FLIP_SINGLE_BIT,8.0,0.4,0.0
fp32,RANDOM_VALUE,49.6,3.6,0.0
fp32,WARP_RANDOM_VALUE,80.0,4.4,0.0
