,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,5.2,1.2,4.4
gp,RANDOM_VALUE,23.2,17.2,3.6
ld,FLIP_SINGLE_BIT,2.0,0.4,0.8
ld,RANDOM_VALUE,23.6,16.8,4.8
fp32,FLIP_SINGLE_BIT,5.6,2.0,0.0
fp32,RANDOM_VALUE,27.2,21.2,0.0
fp32,WARP_RANDOM_VALUE,50.0,31.6,0.4
