,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,6.4,1.2,4.4
gp,RANDOM_VALUE,40.4,17.2,3.6
ld,FLIP_SINGLE_BIT,2.4,0.4,0.8
ld,RANDOM_VALUE,40.4,16.8,4.8
fp32,FLIP_SINGLE_BIT,7.6,2.0,0.0
fp32,RANDOM_VALUE,48.4,21.2,0.0
fp32,WARP_RANDOM_VALUE,81.6,31.6,0.4
