,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,7.6,0.0,0.8
gp,RANDOM_VALUE,45.2,2.0,4.4
ld,FLIP_SINGLE_BIT,6.8,0.0,0.0
ld,RANDOM_VALUE,40.8,4.4,0.0
fp32,FLIP_SINGLE_BIT,6.4,0.0,0.0
fp32,RANDOM_VALUE,44.8,2.0,0.0
fp32,WARP_RANDOM_VALUE,80.8,3.6,0.0
