,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,12.0,2.4,2.8
gp,RANDOM_VALUE,43.6,6.8,8.0
ld,FLIP_SINGLE_BIT,3.6,0.0,2.8
ld,RANDOM_VALUE,38.0,10.8,4.4
fp32,FLIP_SINGLE_BIT,11.2,1.6,0.0
fp32,RANDOM_VALUE,56.0,11.6,0.0
fp32,WARP_RANDOM_VALUE,83.2,20.0,0.0
