,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,15.6,0.0,4.4
gp,RANDOM_VALUE,35.2,3.2,12.4
ld,FLIP_SINGLE_BIT,7.2,0.0,1.6
ld,RANDOM_VALUE,29.2,2.4,1.6
fp32,FLIP_SINGLE_BIT,9.6,0.4,0.0
fp32,RANDOM_VALUE,47.6,3.6,0.0
fp32,WARP_RANDOM_VALUE,73.2,9.6,0.0
