,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,15.6,0.0,4.4
gp,RANDOM_VALUE,38.4,3.2,12.4
ld,FLIP_SINGLE_BIT,7.2,0.0,1.6
ld,RANDOM_VALUE,31.6,2.4,1.2
fp32,FLIP_SINGLE_BIT,10.0,0.4,0.0
fp32,RANDOM_VALUE,51.2,3.6,0.0
fp32,WARP_RANDOM_VALUE,82.8,9.6,0.0
