,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,16.4,1.2,4.8
gp,RANDOM_VALUE,34.0,15.2,10.8
ld,FLIP_SINGLE_BIT,10.0,2.0,1.2
ld,RANDOM_VALUE,41.6,20.0,2.8
fp32,FLIP_SINGLE_BIT,10.4,2.0,0.0
fp32,RANDOM_VALUE,38.4,25.6,0.4
fp32,WARP_RANDOM_VALUE,63.6,39.2,0.0
