,,crashes
fp32,FLIP_SINGLE_BIT,2
fp32,RANDOM_VALUE,1
fp32,WARP_RANDOM_VALUE,2
gp,FLIP_SINGLE_BIT,6
gp,RANDOM_VALUE,9
ld,FLIP_SINGLE_BIT,22
ld,RANDOM_VALUE,14
