,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,1.2,2.0,4.8
gp,RANDOM_VALUE,19.2,18.0,10.4
ld,FLIP_SINGLE_BIT,0.4,1.6,4.4
ld,RANDOM_VALUE,20.4,18.4,3.2
fp32,FLIP_SINGLE_BIT,2.0,0.8,0.0
fp32,RANDOM_VALUE,22.4,22.4,0.8
fp32,WARP_RANDOM_VALUE,44.0,32.0,0.0
