,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,3.2,2.0,4.8
gp,RANDOM_VALUE,37.2,18.0,10.0
ld,FLIP_SINGLE_BIT,2.0,1.6,4.4
ld,RANDOM_VALUE,38.8,18.4,3.2
fp32,FLIP_SINGLE_BIT,2.8,0.8,0.0
fp32,RANDOM_VALUE,44.8,22.4,0.4
fp32,WARP_RANDOM_VALUE,76.0,32.0,0.0
