,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,13.2,0.0,2.8
gp,RANDOM_VALUE,36.0,4.4,4.8
ld,FLIP_SINGLE_BIT,4.4,0.0,2.0
ld,RANDOM_VALUE,32.0,4.4,4.4
fp32,FLIP_SINGLE_BIT,8.4,0.8,0.0
fp32,RANDOM_VALUE,49.2,4.8,0.0
fp32,WARP_RANDOM_VALUE,77.6,10.0,0.0
