,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,13.2,0.0,2.8
gp,RANDOM_VALUE,40.4,4.4,4.8
ld,FLIP_SINGLE_BIT,4.4,0.0,2.0
ld,RANDOM_VALUE,36.4,4.4,4.4
fp32,FLIP_SINGLE_BIT,9.2,0.8,0.0
fp32,RANDOM_VALUE,54.0,4.8,0.0
fp32,WARP_RANDOM_VALUE,87.6,10.0,0.0
