,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,9.2,0.4,4.0
gp,RANDOM_VALUE,40.4,8.0,6.8
ld,FLIP_SINGLE_BIT,1.6,0.0,0.0
ld,RANDOM_VALUE,36.8,11.2,0.0
fp32,FLIP_SINGLE_BIT,7.6,1.2,0.0
fp32,RANDOM_VALUE,44.0,8.0,0.0
fp32,WARP_RANDOM_VALUE,80.0,10.0,0.0
