,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,8.8,0.4,4.0
gp,RANDOM_VALUE,32.4,8.0,6.8
ld,FLIP_SINGLE_BIT,1.6,0.0,0.0
ld,RANDOM_VALUE,25.6,11.2,0.0
fp32,FLIP_SINGLE_BIT,6.4,1.2,0.0
fp32,RANDOM_VALUE,36.0,8.0,0.0
fp32,WARP_RANDOM_VALUE,70.0,10.0,0.0
