,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,21.6,0.4,4.8
gp,RANDOM_VALUE,46.0,5.6,7.2
ld,FLIP_SINGLE_BIT,6.0,2.0,0.0
ld,RANDOM_VALUE,44.0,11.2,0.0
fp32,FLIP_SINGLE_BIT,10.4,0.8,0.0
fp32,RANDOM_VALUE,53.6,4.4,0.0
fp32,WARP_RANDOM_VALUE,80.0,11.2,0.0
