,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,22.0,0.4,4.8
gp,RANDOM_VALUE,51.6,5.6,7.2
ld,FLIP_SINGLE_BIT,8.0,2.0,0.0
ld,RANDOM_VALUE,55.2,11.2,0.0
fp32,FLIP_SINGLE_BIT,11.2,0.8,0.0
fp32,RANDOM_VALUE,58.0,4.4,0.0
fp32,WARP_RANDOM_VALUE,91.2,11.2,0.0
