,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,16.8,0.0,4.4
gp,RANDOM_VALUE,52.0,4.8,6.4
ld,FLIP_SINGLE_BIT,5.6,0.0,0.4
ld,RANDOM_VALUE,32.4,3.2,2.4
fp32,FLIP_SINGLE_BIT,13.2,0.0,0.0
fp32,RANDOM_VALUE,61.2,2.8,0.0
fp32,WARP_RANDOM_VALUE,90.0,8.0,0.0
