,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,12.4,0.4,5.6
gp,RANDOM_VALUE,46.4,2.0,7.2
ld,FLIP_SINGLE_BIT,6.8,0.0,3.2
ld,RANDOM_VALUE,34.4,8.4,6.8
fp32,FLIP_SINGLE_BIT,9.2,0.0,0.0
fp32,RANDOM_VALUE,50.8,4.4,0.0
fp32,WARP_RANDOM_VALUE,85.6,9.6,0.4
