,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,12.0,0.4,6.0
gp,RANDOM_VALUE,44.4,2.0,7.2
ld,FLIP_SINGLE_BIT,6.8,0.0,3.2
ld,RANDOM_VALUE,26.0,8.4,6.8
fp32,FLIP_SINGLE_BIT,9.2,0.0,0.0
fp32,RANDOM_VALUE,46.4,4.4,0.0
fp32,WARP_RANDOM_VALUE,76.0,9.6,0.4
