,,crashes
fp32,FLIP_SINGLE_BIT,0
fp32,RANDOM_VALUE,6
fp32,WARP_RANDOM_VALUE,10
gp,FLIP_SINGLE_BIT,9
gp,RANDOM_VALUE,6
ld,FLIP_SINGLE_BIT,14
ld,RANDOM_VALUE,14
