,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,13.2,0.0,4.0
gp,RANDOM_VALUE,54.8,4.8,6.0
ld,FLIP_SINGLE_BIT,6.8,1.6,1.2
ld,RANDOM_VALUE,40.4,3.2,2.4
fp32,FLIP_SINGLE_BIT,12.8,0.4,0.0
fp32,RANDOM_VALUE,60.0,8.0,0.0
fp32,WARP_RANDOM_VALUE,87.2,4.4,0.0
