,,crashes
fp32,FLIP_SINGLE_BIT,6
fp32,RANDOM_VALUE,0
fp32,WARP_RANDOM_VALUE,2
gp,FLIP_SINGLE_BIT,10
gp,RANDOM_VALUE,9
ld,FLIP_SINGLE_BIT,12
ld,RANDOM_VALUE,28
