,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,10.0,0.4,4.8
gp,RANDOM_VALUE,40.4,4.0,9.6
ld,FLIP_SINGLE_BIT,6.8,0.8,2.0
ld,RANDOM_VALUE,40.0,4.0,2.8
fp32,FLIP_SINGLE_BIT,9.2,1.2,0.0
fp32,RANDOM_VALUE,39.6,4.4,0.0
fp32,WARP_RANDOM_VALUE,78.8,4.4,0.0
