,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,9.6,0.4,4.8
gp,RANDOM_VALUE,36.4,4.0,9.6
ld,FLIP_SINGLE_BIT,6.0,0.8,2.0
ld,RANDOM_VALUE,36.0,4.0,3.2
fp32,FLIP_SINGLE_BIT,8.0,1.2,0.0
fp32,RANDOM_VALUE,35.2,4.4,0.0
fp32,WARP_RANDOM_VALUE,74.4,4.4,0.0
