,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,11.2,0.0,6.4
gp,RANDOM_VALUE,38.8,8.4,10.4
ld,FLIP_SINGLE_BIT,4.0,0.8,0.0
ld,RANDOM_VALUE,34.0,6.0,0.0
fp32,FLIP_SINGLE_BIT,10.4,1.2,0.0
fp32,RANDOM_VALUE,38.8,10.0,0.0
fp32,WARP_RANDOM_VALUE,80.8,7.6,0.0
