,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,5.2,0.0,3.6
gp,RANDOM_VALUE,34.0,3.2,5.2
ld,FLIP_SINGLE_BIT,5.2,0.4,3.2
ld,RANDOM_VALUE,35.2,2.4,4.8
fp32,FLIP_SINGLE_BIT,4.0,0.8,0.8
fp32,RANDOM_VALUE,37.6,4.8,0.0
fp32,WARP_RANDOM_VALUE,67.6,3.2,0.0
