,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,18.4,1.2,5.6
gp,RANDOM_VALUE,58.0,10.0,8.0
ld,FLIP_SINGLE_BIT,5.6,1.6,0.0
ld,RANDOM_VALUE,54.4,14.4,0.0
fp32,FLIP_SINGLE_BIT,16.8,0.8,0.0
fp32,RANDOM_VALUE,60.0,15.2,0.0
fp32,WARP_RANDOM_VALUE,85.2,8.8,0.0
