,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,12.4,0.0,4.8
gp,RANDOM_VALUE,51.6,3.6,4.8
ld,FLIP_SINGLE_BIT,7.2,0.0,0.8
ld,RANDOM_VALUE,29.2,2.4,4.4
fp32,FLIP_SINGLE_BIT,18.0,0.4,0.0
fp32,RANDOM_VALUE,62.8,2.4,0.0
fp32,WARP_RANDOM_VALUE,90.0,12.0,0.0
