,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,12.4,0.0,5.2
gp,RANDOM_VALUE,48.0,3.6,4.8
ld,FLIP_SINGLE_BIT,7.2,0.0,0.8
ld,RANDOM_VALUE,26.8,2.4,4.4
fp32,FLIP_SINGLE_BIT,17.6,0.4,0.0
fp32,RANDOM_VALUE,60.4,2.4,0.0
fp32,WARP_RANDOM_VALUE,78.0,12.0,0.0
