,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,16.8,0.4,4.0
gp,RANDOM_VALUE,29.6,6.0,4.8
ld,FLIP_SINGLE_BIT,12.8,0.8,2.8
ld,RANDOM_VALUE,24.0,14.0,1.6
fp32,FLIP_SINGLE_BIT,10.4,0.4,0.4
fp32,RANDOM_VALUE,30.0,8.8,0.0
fp32,WARP_RANDOM_VALUE,39.2,26.8,0.4
