,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,11.6,0.4,2.4
gp,RANDOM_VALUE,34.8,2.4,9.6
ld,FLIP_SINGLE_BIT,5.2,0.0,0.0
ld,RANDOM_VALUE,38.0,1.6,0.0
fp32,FLIP_SINGLE_BIT,10.0,0.8,0.0
fp32,RANDOM_VALUE,40.8,3.6,0.0
fp32,WARP_RANDOM_VALUE,75.2,2.0,0.0
