Model,SDC,Critical SDC,DUE
vit16_224,34.17142857142857,34.17142857142857,2.1714285714285713
vit16_224-hd,,,
vit16_384,28.742857142857144,8.514285714285714,1.2
vit16_384-hd,,,
vit14_large_224,25.542857142857144,6.171428571428572,1.4285714285714286
vit14_large_224-hd,34.457142857142856,1.7714285714285718,1.3142857142857143
vit32_sam_224,37.371428571428574,5.0857142857142845,1.7142857142857142
vit32_sam_224-hd,,,
